        TIME                    X      Y      RAWX   RAWY   DETX   DETY
        s                       pixel  pixel  pixel  pixel  pixel  pixel
    399   4.729405881537717E+08   -198   -345    442    394    443    395
    400   4.729405881537717E+08   -222   -349    466    397    467    398
    401   4.729405881537717E+08   -164   -163    356    557    357    558
    402   4.729405906610916E+08    210   -452     84    170     85    171
    403   4.729405906610916E+08    187   -283     56    337     57    338
    404   4.729405906610916E+08   -270   -437    538    326    539    327
    405   4.729405906610916E+08    -19   -220    233    460    234    461
    406   4.729405906610916E+08    193   -519    120    111    121    112
    407   4.729405931684317E+08     51   -285    186    377    187    378
    408   4.729405931684317E+08   -199   -232    409    501    410    502
    409   4.729405931684317E+08   -129   -225    340    487    341    488
    410   4.729405956757317E+08   -164   -681    509     63    510     64
    411   4.729405956757317E+08   -168   -479    454    256    455    257
    412   4.729405956757317E+08    -29   -589    353    110    354    111
    413   4.729405956757317E+08   -316   -271    533    499    534    500
    414   4.729405981830517E+08    128   -170     79    463     80    464
    415   4.729405981830517E+08   -288   -305    516    458    517    459
    416   4.729406006903716E+08     87   -405    188    252    189    253
    417   4.729406006903716E+08   -326   -340    562    437    563    438
    418   4.729406031977117E+08   -220   -455    495    295    496    296
    419   4.729406031977117E+08    -90   -252    311    450    312    451
    420   4.729406031977117E+08    -76   -358    329    345    330    346
    421   4.729406031977117E+08    -97   -593    419    127    420    128
    422   4.729406031977117E+08    101   -274    134    373    135    374
    423   4.729406031977117E+08    256   -412     29    194     30    195
    424   4.729406057049917E+08   -119   -277    345    435    346    436
    425   4.729406057049917E+08   -149   -139    333    575    334    576
    426   4.729406057049917E+08    -90   -251    311    450    312    451
    427   4.729406057049917E+08    251   -480     54    130     55    131
    428   4.729406057049917E+08   -250   -444    522    314    523    315
    429   4.729406082123317E+08    211   -402     68    217     69    218
    430   4.729406082123317E+08   -266   -462    542    302    543    303
    431   4.729406082123317E+08    115   -160     88    476     89    477
    432   4.729406082123317E+08     -5   -155    201    517    202    518
    433   4.729406082123317E+08    113   -141     84    495     85    496
    434   4.729406107196517E+08     45   -114    140    542    141    543
    435   4.729406107196517E+08   -156   -127    336    589    337    590
    436   4.729406107196517E+08    -91   -518    391    196    392    197
    437   4.729406107196517E+08    160   -548    160     93    161     94
    438   4.729406107196517E+08    -73   -148    264    545    265    546
    439   4.729406132269917E+08   -251   -337    489    417    490    418
    440   4.729406132269917E+08   -143   -150    330    564    331    565
    441   4.729406132269917E+08    139   -290    103    345    104    346
    442   4.729406157342717E+08      5   -230    213    442    214    443
    443   4.729406157342717E+08    -68   -307    305    391    306    392
    444   4.729406182415917E+08   -251   -336    489    417    490    418
    445   4.729406182415917E+08     57   -583    268     91    269     92
    446   4.729406182415917E+08    -36   -682    387     23    388     24
    447   4.729406182415917E+08     98   -235    126    410    127    411
    448   4.729406182415917E+08     85   -197    127    450    128    451
    449   4.729406207489517E+08     98   -236    126    410    127    411
    450   4.729406207489517E+08   -133   -621    461    110    462    111
    451   4.729406207489517E+08   -251   -336    489    417    490    418
    452   4.729406207489517E+08   -288   -369    534    397    535    398
    453   4.729406232562317E+08   -130   -301    364    415    365    416
    454   4.729406232562317E+08   -260   -480    541    283    542    284
    455   4.729406232562317E+08    186   -283     56    337     57    338
    456   4.729406232562317E+08   -169   -479    454    256    455    257
    457   4.729406257635517E+08   -324   -289    545    485    546    486
    458   4.729406257635517E+08   -200   -344    442    394    443    395
    459   4.729406257635517E+08    -60   -672    406     40    407     41
    460   4.729406257635517E+08   -330   -420    590    362    591    363
    461   4.729406257635517E+08    -86   -275    313    427    314    428
    462   4.729406257635517E+08    -99   -612    427    109    428    110
    463   4.729406257635517E+08   -221   -146    404    590    405    591
    464   4.729406282708717E+08    214   -551    109     74    110     75
    465   4.729406282708717E+08    -72   -173    270    520    271    521
    466   4.729406282708717E+08     11   -563    307    123    308    124
    467   4.729406282708717E+08    210   -541    110     84    111     85
    468   4.729406282708717E+08    169   -490    135    145    136    146
    469   4.729406307782117E+08    -27   -407    297    283    298    284
    470   4.729406332854917E+08   -131   -302    364    415    365    416
    471   4.729406357928317E+08   -225   -165    414    573    415    574
    472   4.729406357928317E+08    -27   -408    297    283    298    284
    473   4.729406383001517E+08    174   -244     56    378     57    379
    474   4.729406383001517E+08    -39   -120    222    561    223    562
    475   4.729406383001517E+08   -130   -226    340    487    341    488
    476   4.729406383001517E+08    -56   -539    363    166    364    167
    477   4.729406408074917E+08     70   -455    218    209    219    210
    478   4.729406433147717E+08    171   -331     84    296     85    297
    479   4.729406433147717E+08   -104   -243    321    462    322    463
    480   4.729406433147717E+08    200   -274     40    342     41    343
    481   4.729406433147717E+08   -272   -234    479    520    480    521
    482   4.729406433147717E+08   -144   -148    330    564    331    565
    483   4.729406712817917E+08     25   -782    484    427    485    428
    484   4.729406712817917E+08    362   -620    114    482    115    483
    485   4.729406712817917E+08    131   -676    352    497    353    498
    486   4.729406712817917E+08    280   -687    213    442    214    443
    487   4.729406712817917E+08    182   -702    311    456    312    457
    488   4.729406712817917E+08    476   -720     35    353     36    354
    489   4.729406712817917E+08     49   -622    414    573    415    574
    490   4.729406737891317E+08    123  -1061    473    131    474    132
    491   4.729406737891317E+08    494   -796     40    274     41    275
    492   4.729406737891317E+08    293   -643    187    480    188    481
    493   4.729406737891317E+08      3   -962    558    262    559    263
    494   4.729406737891317E+08    215   -941    350    218    351    219
    495   4.729406737891317E+08    340   -928    227    195    228    196
    496   4.729406737891317E+08    338   -579    126    528    127    529
    497   4.729406737891317E+08    247  -1018    342    136    343    137
    498   4.729406737891317E+08    388   -950    187    159    188    160
    499   4.729406737891317E+08    289   -760    226    369    227    370
    500   4.729406762964516E+08     86   -851    447    343    448    344
    501   4.729406762964516E+08     25   -783    484    427    485    428
    502   4.729406762964516E+08    486   -860     68    217     69    218
